location_name,lat,lon,centreline_id,centreline_type,total_vehicle,total_pedestrian,collision_count,fatal_count,n_schools,n_childcare,n_libraries,n_community_centres,n_emergency_services,ltc_beds_nearby,score_traffic,score_collision,score_impact,score_density,priority_score
Sheppard Ave W / Easton Rd,43.7582189647104,-79.4257377762755,13449194,2,18341,454,1,0,1,0,0,0,0,0,0.25232725916212295,0.03225806451612903,0.012658227848101264,0.17997630331753556,0.12013413918876199
Danforth Ave / Carlaw Ave,43.6784604873265,-79.3473451897794,13461936,2,15161,5504,1,0,2,3,1,1,0,110,0.20862257187489117,0.03225806451612903,0.17893882927456145,0.0,0.12009598859176936
The Queensway to High St,43.63080500000001,-79.48229500000001,912850,1,16279,578,2,0,0,0,0,0,0,0,0.22440982091692485,0.06451612903225806,0.0,0.18951421800947868,0.1200755042831619
Roxborough St E / Wrentham Pl,43.6794345184873,-79.3823234942179,13461853,2,6207,299,1,1,1,3,0,0,0,0,0.08515085967116198,0.16129032258064516,0.03544303797468354,0.2665876777251185,0.12000178915558105
Logan Ave / Mortimer Ave,43.6849004722997,-79.3519350440017,13460786,2,12044,577,1,0,3,2,0,0,0,0,0.165632598382461,0.03225806451612903,0.053164556962025315,0.40071090047393365,0.11996573345430493
Steeles Ave E / Redlea Ave,43.8241552364007,-79.3050850623937,30017743,2,18557,1232,1,0,1,0,0,0,0,0,0.2553644410229856,0.03225806451612903,0.012658227848101264,0.16765402843601895,0.11996492535191226
Weston Rd / Dennis Ave,43.6850822321191,-79.48567141417,13461075,2,8893,468,0,0,2,2,1,0,1,0,0.12238169498898953,0.0,0.19467299578059072,0.3816350710900474,0.11993169951126922
Steeles Ave E: Maxome Ave - Conacher Dr,43.80156481737489,-79.40397384007554,14228166,1,21164,143,1,0,2,1,0,0,0,0,0.2914298341852115,0.03225806451612903,0.03291139240506329,0.0,0.11987304302648184
Warden Ave / Clonmore Dr / Hollis Kalmar Park Trl,43.6932816437301,-79.2732030435057,13459016,2,13035,284,1,0,0,0,0,0,1,0,0.17982910713851505,0.03225806451612903,0.11666666666666665,0.22304502369668247,0.119868345782127
Kingston Rd / Victoria Park Ave,43.6808114379691,-79.284060441812,13461342,2,18570,4145,0,0,2,2,0,0,0,0,0.25557427237149366,0.0,0.04050632911392405,0.22304502369668247,0.11985676352247583
Caledonia Rd / Corby Ave,43.6846601701622,-79.4587032206828,13461089,2,13694,539,0,0,2,2,0,1,0,0,0.1883842992306515,0.0,0.07800632911392405,0.38293838862559243,0.11982960941607208
Brimley Rd / Dorcot Ave,43.7589584874219,-79.257146812586,13448727,2,20185,421,2,0,0,0,0,0,0,0,0.2776988675271125,0.06451612903225806,0.0,0.0,0.11977524879577969
Renforth Dr: Renforth / Hwy 427 S Ramp - Convair Dr,43.6694063386021,-79.5915810917013,910025,1,20163,2,2,0,0,0,0,0,0,0,0.27767068554063357,0.06451612903225806,0.0,0.0,0.11976538510051207
